Hispanic,Black non-Hispanic,Other non-Hispanic,White non-Hispanic,Male,Female,18-44 years,45-64 years,Bachelor's degree or above,High school graduate or less,Some college,tract_x,tract_y,latitude,longitude,google_loc
0.494992847,0.474964235,0.01096805,0.018597997,0.489747258,0.510252742,0.413447783,0.168335718,0.300546448,0.699453552,0.300546448,220100,2201,29.8151583,-95.3435294,"29.8151583, -95.3435294 (2201)"
0.923762376,0.011881188,0.002310231,0.061716172,0.518481848,0.481518152,0.461056106,0.161716172,0.180086048,0.819913952,0.180086048,220200,2202,29.816574,-95.3650519,"29.816574, -95.3650519 (2202)"
0.904191617,0.012197827,0.003104901,0.077178975,0.516300732,0.483699268,0.467287647,0.151474828,0.184985483,0.815014517,0.184985483,220300,2203,29.8242157,-95.3657275,"29.8242157, -95.3657275 (2203)"
0.897629954,0.038040231,0.003186616,0.059350727,0.506871141,0.493128859,0.474606652,0.125672177,0.142213115,0.857786885,0.142213115,220400,2204,29.831578,-95.3663222,"29.831578, -95.3663222 (2204)"
0.734375,0.118470149,0.006296642,0.136427239,0.504664179,0.495335821,0.410214552,0.182835821,0.19453274,0.80546726,0.19453274,220500,2205,29.8362174,-95.3814687,"29.8362174, -95.3814687 (2205)"
0.754237288,0.178222907,0.003595275,0.062660503,0.484848485,0.515151515,0.463020031,0.108371854,0.147668394,0.852331606,0.147668394,220600,2206,29.8418052,-95.3668801,"29.8418052, -95.3668801 (2206)"
0.70951401,0.248694,0.006015514,0.031818901,0.514168118,0.485831882,0.446414437,0.133607725,0.170464635,0.829535365,0.170464635,220700,2207,29.8342967,-95.3496337,"29.8342967, -95.3496337 (2207)"
0.478868957,0.490118577,0.006384919,0.020979021,0.484341745,0.515658255,0.438735178,0.127394345,0.179487179,0.820512821,0.179487179,220800,2208,29.8308466,-95.3387038,"29.8308466, -95.3387038 (2208)"
0.809395248,0.149028078,0.007019438,0.026457883,0.529697624,0.470302376,0.462742981,0.123110151,0.210176991,0.789823009,0.210176991,220900,2209,29.8488405,-95.3376376,"29.8488405, -95.3376376 (2209)"
0.779786971,0.130790191,0.006935843,0.080753034,0.492692594,0.507307406,0.463215259,0.130047065,0.1985993,0.8014007,0.1985993,221000,2210,29.8603325,-95.3448895,"29.8603325, -95.3448895 (2210)"
