GEOID,Total Population,18-21 years,22-29 years,30-39 years,40-49 years,65 years and over,Hispanic,Black non-Hispanic,Other non-Hispanic,White non-hispanic,Male,Female,Education Total,Less than high school,High school,College,tract_x,tract_y,latitude,longitude,google_loc,Age50_64
48201230800,2805,164,283,305,373,480,637,2108,15,44,1364,1441,1715,706,562,447,230800,2308,29.8398272,-95.2937237,"29.8398272, -95.2937237 (2308)",500
48201230900,4231,234,443,486,521,587,764,3353,42,72,1980,2251,2550,961,854,735,230900,2309,29.818201,-95.282634,"29.818201, -95.282634 (2309)",732
48201231000,4282,255,438,496,553,557,1476,2621,47,130,2140,2142,2426,1019,955,452,231000,2310,29.8401714,-95.2786836,"29.8401714, -95.2786836 (2310)",804
48201231100,4729,342,576,610,576,359,2759,1632,37,295,2393,2336,2633,1451,833,349,231100,2311,29.8277499,-95.2500065,"29.8277499, -95.2500065 (2311)",746
48201231200,6698,480,799,829,769,410,1788,4712,44,146,3100,3598,3290,1270,936,1084,231200,2312,29.875083,-95.2473537,"29.875083, -95.2473537 (2312)",1013
48201231300,4254,272,433,519,522,439,837,3282,37,97,1985,2269,2584,621,863,1100,231300,2313,29.8582183,-95.2726329,"29.8582183, -95.2726329 (2313)",855
48201231400,2379,128,177,242,320,630,108,2231,20,18,1090,1289,1551,325,593,633,231400,2314,29.8637479,-95.2870796,"29.8637479, -95.2870796 (2314)",424
48201231500,2706,146,245,254,353,558,202,2466,14,20,1239,1467,1851,470,673,708,231500,2315,29.859841,-95.2965469,"29.859841, -95.2965469 (2315)",507
48201231600,2822,157,260,290,335,605,472,2276,28,43,1386,1436,1902,508,701,693,231600,2316,29.8617444,-95.3074845,"29.8617444, -95.3074845 (2316)",532
48201231700,3867,256,443,610,428,217,3391,132,17,319,2032,1835,1773,968,414,391,231700,2317,29.8761202,-95.3198604,"29.8761202, -95.3198604 (2317)",473
48201231800,2764,151,318,352,315,305,1578,1069,14,97,1375,1389,1676,700,528,448,231800,2318,29.8763695,-95.3077825,"29.8763695, -95.3077825 (2318)",522
48201231900,6292,406,613,772,774,857,1705,4265,56,245,3045,3247,4513,1357,1755,1401,231900,2319,29.8790857,-95.2745722,"29.8790857, -95.2745722 (2319)",1245
48201232000,4050,226,503,548,468,460,2211,1623,19,181,2009,2041,2463,976,785,702,232000,2320,29.9035599,-95.2713048,"29.9035599, -95.2713048 (2320)",629
48201232100,2869,196,318,444,390,164,1702,876,28,258,1473,1396,2162,699,915,548,232100,2321,29.9054154,-95.3072963,"29.9054154, -95.3072963 (2321)",442
48201232200,9437,410,1524,1854,1162,436,3795,1437,176,3618,4680,4757,5207,1306,1116,2785,232200,2322,29.9249436,-95.2608743,"29.9249436, -95.2608743 (2322)",1202
48201232301,8913,520,1177,1411,995,394,5395,2148,86,1252,4321,4592,4372,1820,1278,1274,232301,2323.01,29.8726614,-95.2166374,"29.8726614, -95.2166374 (2323.01)",968
48201232302,9020,502,1129,1566,1139,339,4544,3554,73,773,4360,4660,4506,1455,1253,1798,232302,2323.02,29.8596077,-95.2048279,"29.8596077, -95.2048279 (2323.02)",1101
48201232401,7415,454,783,1073,998,466,3957,1640,92,1363,3661,3754,3924,742,1674,1508,232401,2324.01,29.8210792,-95.1921157,"29.8210792, -95.1921157 (2324.01)",1227
48201232402,3714,257,450,519,445,201,1851,1461,53,262,1765,1949,2215,652,454,1109,232402,2324.02,29.8118412,-95.1879797,"29.8118412, -95.1879797 (2324.02)",688
48201232403,4165,273,517,585,560,184,2421,1349,51,275,2054,2111,2456,622,843,991,232403,2324.03,29.8090933,-95.2052647,"29.8090933, -95.2052647 (2324.03)",704
48201232500,3135,167,331,437,377,300,2109,582,26,407,1770,1365,2056,949,658,449,232500,2325,29.8059971,-95.2502681,"29.8059971, -95.2502681 (2325)",688
48201232600,3000,204,313,411,399,307,2308,225,32,432,1506,1494,1998,623,665,710,232600,2326,29.7844995,-95.2495802,"29.7844995, -95.2495802 (2326)",503
48201232701,7235,516,1110,1139,730,338,4846,1971,67,304,3688,3547,3801,1659,1167,975,232701,2327.01,29.7886493,-95.2278273,"29.7886493, -95.2278273 (2327.01)",921
48201232702,5217,300,821,869,568,471,3595,949,65,570,2749,2468,2863,1597,582,684,232702,2327.02,29.7755523,-95.2166662,"29.7755523, -95.2166662 (2327.02)",610
48201232800,5201,355,817,835,670,245,2656,1789,87,479,2591,2610,2727,583,667,1477,232800,2328,29.7869616,-95.2056287,"29.7869616, -95.2056287 (2328)",786
48201232900,7254,491,1001,966,981,462,2851,3008,101,962,3472,3782,4273,690,1302,2281,232900,2329,29.801152,-95.1933761,"29.801152, -95.1933761 (2329)",1371
48201233001,3133,230,398,453,382,220,1329,1038,36,707,1518,1615,1682,471,573,638,233001,2330.01,29.7971928,-95.1825542,"29.7971928, -95.1825542 (2330.01)",477
48201233002,3932,257,397,438,615,288,1497,1443,55,788,1912,2020,2365,445,588,1332,233002,2330.02,29.8017233,-95.1701831,"29.8017233, -95.1701831 (2330.02)",892
48201233003,2235,109,202,268,268,399,939,204,28,1022,1073,1162,1689,382,635,672,233003,2330.03,29.7936981,-95.1707437,"29.7936981, -95.1707437 (2330.03)",419
48201233101,4107,266,531,559,557,272,3176,167,17,705,2144,1963,2230,831,717,682,233101,2331.01,29.7875614,-95.1793247,"29.7875614, -95.1793247 (2331.01)",483
48201233102,6676,425,909,1084,770,247,5568,108,43,942,3551,3125,3939,2238,1192,509,233102,2331.02,29.7797575,-95.1642778,"29.7797575, -95.1642778 (2331.02)",715
48201233103,5164,378,706,770,640,201,4377,117,41,618,2717,2447,2253,1276,690,287,233103,2331.03,29.7764643,-95.1762714,"29.7764643, -95.1762714 (2331.03)",532
48201233200,6232,356,610,914,818,575,4444,183,34,1551,3150,3082,3960,1390,1421,1149,233200,2332,29.7793051,-95.1927525,"29.7793051, -95.1927525 (2332)",890
48201233300,4818,330,610,734,602,289,4321,35,23,431,2544,2274,2307,1325,547,435,233300,2333,29.7542552,-95.2006244,"29.7542552, -95.2006244 (2333)",582
48201233400,2757,158,341,339,334,290,2186,244,11,305,1359,1398,1700,835,395,470,233400,2334,29.7708371,-95.2453025,"29.7708371, -95.2453025 (2334)",486
48201233500,7796,520,948,1041,991,716,6670,85,40,989,3916,3880,4604,2574,1212,818,233500,2335,29.7633492,-95.2392045,"29.7633492, -95.2392045 (2335)",1125
48201233600,2127,132,197,266,270,276,526,1571,15,10,1009,1118,1219,297,360,562,233600,2336,29.7564963,-95.260864,"29.7564963, -95.260864 (2336)",423
48201233701,5245,340,561,721,651,494,3939,689,28,582,2658,2587,3276,1315,1093,868,233701,2337.01,29.7357783,-95.2467911,"29.7357783, -95.2467911 (2337.01)",792
48201233702,3000,186,375,430,361,207,2705,16,12,264,1528,1472,1837,929,715,193,233702,2337.02,29.7475453,-95.2379374,"29.7475453, -95.2379374 (2337.02)",399
48201233703,2656,193,313,354,329,207,2228,16,18,394,1331,1325,1355,782,403,170,233703,2337.03,29.743492,-95.2215425,"29.743492, -95.2215425 (2337.03)",328
48201240100,3557,259,772,615,357,103,2029,1156,51,298,1874,1683,1993,553,846,594,240100,2401,29.9461916,-95.4027251,"29.9461916, -95.4027251 (2401)",373
48201240400,6394,390,797,980,844,352,3223,1680,104,1181,3165,3229,4069,1283,877,1909,240400,2404,29.9875092,-95.3732954,"29.9875092, -95.3732954 (2404)",1024
48201240501,5418,401,1056,856,536,119,2709,2461,77,144,2613,2805,2538,660,805,1073,240501,2405.01,29.9582552,-95.3914922,"29.9582552, -95.3914922 (2405.01)",518
48201240502,5594,502,1184,857,594,98,3128,2214,52,181,2791,2803,2848,893,1085,870,240502,2405.02,29.9484522,-95.3920165,"29.9484522, -95.3920165 (2405.02)",476
48201240600,2657,209,554,483,257,36,1586,924,39,100,1359,1298,1332,574,376,382,240600,2406,29.9581699,-95.4085283,"29.9581699, -95.4085283 (2406)",189
48201240701,13642,874,1648,2615,1877,314,7255,4806,211,920,6672,6970,6699,1629,2009,3061,240701,2407.01,30.0100818,-95.4141778,"30.0100818, -95.4141778 (2407.01)",1374
48201240702,10524,579,1511,2055,1206,226,5511,3783,163,711,5110,5414,4322,865,1748,1709,240702,2407.02,29.9803374,-95.4060929,"29.9803374, -95.4060929 (2407.02)",847
48201240801,5157,468,1024,800,549,360,2423,1213,115,1329,2688,2469,3251,752,985,1514,240801,2408.01,30.0304915,-95.4173916,"30.0304915, -95.4173916 (2408.01)",587
48201240802,3912,179,501,618,456,328,1534,1138,65,1113,1843,2069,1838,442,546,850,240802,2408.02,30.0219364,-95.3668122,"30.0219364, -95.3668122 (2408.02)",623
48201240901,8671,487,1073,1583,1203,351,3618,2996,173,1690,4188,4483,3485,520,912,2053,240901,2409.01,30.0205928,-95.3174302,"30.0205928, -95.3174302 (2409.01)",1124
48201240902,11756,650,1484,1944,1561,702,4487,3983,270,2617,5671,6085,6032,939,1405,3688,240902,2409.02,30.0195268,-95.2880156,"30.0195268, -95.2880156 (2409.02)",1763
48201241000,8317,458,845,1336,1176,511,2594,1234,233,4042,4071,4246,5016,761,1329,2926,241000,2410,30.0560607,-95.3374648,"30.0560607, -95.3374648 (2410)",1464
48201241101,4542,250,446,741,662,257,1370,594,118,2387,2222,2320,2498,250,678,1570,241101,2411.01,30.0624648,-95.3891185,"30.0624648, -95.3891185 (2411.01)",807
48201241102,11643,666,1255,2008,1654,535,3873,2697,312,4538,5661,5982,6821,833,2187,3801,241102,2411.02,30.0522607,-95.365023,"30.0522607, -95.365023 (2411.02)",1605
48201241103,4298,212,628,734,566,172,1284,1208,139,1556,1997,2301,2192,363,678,1151,241103,2411.03,30.0474108,-95.3807767,"30.0474108, -95.3807767 (2411.03)",565
48201241200,6931,419,789,1145,914,430,2012,1416,194,3140,3401,3530,3986,632,1191,2163,241200,2412,30.0463704,-95.396946,"30.0463704, -95.396946 (2412)",1079
48201241300,10947,493,1154,1842,1669,903,2587,2329,216,5103,5326,5621,6630,376,1247,5007,241300,2413,30.0692488,-95.4177488,"30.0692488, -95.4177488 (2413)",1859
48201241400,7931,342,888,1354,1166,545,1827,858,202,4837,3861,4070,5220,593,1431,3196,241400,2414,30.0851921,-95.4057872,"30.0851921, -95.4057872 (2414)",1441
48201241500,9146,656,1616,1496,1127,391,3438,3722,174,1624,4584,4562,5357,2023,1401,1933,241500,2415,29.9602383,-95.3195223,"29.9602383, -95.3195223 (2415)",1073
48201250100,7865,422,1009,1240,987,545,3702,2024,137,1838,3837,4028,4021,948,1150,1923,250100,2501,29.9686917,-95.2679542,"29.9686917, -95.2679542 (2501)",1175
48201250200,8428,535,1063,1504,1090,339,3837,3103,165,1176,4061,4367,4104,1079,999,2026,250200,2502,29.9474446,-95.2609212,"29.9474446, -95.2609212 (2502)",1015
48201250301,8587,687,1556,1810,1282,218,2742,3248,197,2140,5303,3284,4264,1269,1492,1503,250301,2503.01,29.947089,-95.2263045,"29.947089, -95.2263045 (2503.01)",929
48201250302,9742,509,1164,1776,1464,426,2813,2647,182,3841,4807,4935,5086,546,1517,3023,250302,2503.02,29.9726808,-95.2082447,"29.9726808, -95.2082447 (2503.02)",1342
48201250401,12134,556,945,2427,1848,458,2889,1936,341,6583,5904,6230,6835,298,1299,5238,250401,2504.01,29.9870447,-95.1775845,"29.9870447, -95.1775845 (2504.01)",1680
48201250402,13962,580,1393,2601,2119,750,2617,2006,349,8562,7047,6915,7397,258,1815,5324,250402,2504.02,29.9695413,-95.1768274,"29.9695413, -95.1768274 (2504.02)",2303
48201250500,5510,315,643,891,843,306,1213,1260,127,2741,2668,2842,3338,383,887,2068,250500,2505,29.9929597,-95.1954273,"29.9929597, -95.1954273 (2505)",792
48201250600,7606,504,1098,1142,913,682,3002,1645,244,2577,3762,3844,4285,993,1284,2008,250600,2506,29.9856501,-95.2467596,"29.9856501, -95.2467596 (2506)",1116
48201250701,5373,263,536,750,766,387,1344,749,90,3078,2601,2772,3700,508,1194,1998,250701,2507.01,30.004991,-95.236336,"30.004991, -95.236336 (2507.01)",1140
48201250702,4563,175,357,608,688,378,720,455,102,3157,2224,2339,3034,296,514,2224,250702,2507.02,30.0032359,-95.1785061,"30.0032359, -95.1785061 (2507.02)",1061
48201250800,8129,293,461,977,1354,928,868,386,156,6470,4061,4068,5404,101,1015,4288,250800,2508,30.0149447,-95.1616147,"30.0149447, -95.1616147 (2508)",1978
48201250900,8569,299,451,674,1462,1032,596,181,128,7459,4174,4395,5667,104,603,4960,250900,2509,30.0448073,-95.1485618,"30.0448073, -95.1485618 (2509)",2320
48201251000,2774,164,383,300,325,406,327,150,71,2096,1355,1419,1758,23,239,1496,251000,2510,30.0346082,-95.1886074,"30.0346082, -95.1886074 (2510)",675
48201251100,7400,328,556,804,1080,1303,1095,311,156,5672,3599,3801,5207,402,781,4024,251100,2511,30.0354861,-95.236521,"30.0354861, -95.236521 (2511)",1641
48201251200,5584,242,394,775,805,705,821,223,91,4321,2695,2889,4066,198,822,3046,251200,2512,30.0577974,-95.223459,"30.0577974, -95.223459 (2512)",1238
48201251300,7159,278,425,749,1039,1063,773,139,134,6025,3540,3619,4931,71,555,4305,251300,2513,30.0542151,-95.1976783,"30.0542151, -95.1976783 (2513)",1775
48201251401,2446,101,157,378,438,139,385,80,39,1864,1215,1231,1574,46,127,1401,251401,2514.01,30.0811611,-95.1916467,"30.0811611, -95.1916467 (2514.01)",448
48201251402,5924,256,652,984,901,490,943,167,92,4619,2886,3038,3898,343,1055,2500,251402,2514.02,30.0743768,-95.2031065,"30.0743768, -95.2031065 (2514.02)",1012
48201251501,4807,161,209,685,1001,217,560,128,116,3652,2364,2443,3049,239,367,2443,251501,2515.01,30.0980671,-95.1595942,"30.0980671, -95.1595942 (2515.01)",757
48201251502,9419,435,496,838,1528,1037,846,221,190,7910,4623,4796,6819,149,705,5965,251502,2515.02,30.062465,-95.1714185,"30.062465, -95.1714185 (2515.02)",2731
48201251503,2264,99,143,310,388,166,269,39,51,1827,1125,1139,1309,12,172,1125,251503,2515.03,30.0726664,-95.1832132,"30.0726664, -95.1832132 (2515.03)",443
48201251600,5750,251,392,776,962,485,595,144,105,4872,2914,2836,3574,359,1532,1683,251600,2516,30.1007294,-95.112658,"30.1007294, -95.112658 (2516)",1359
48201251700,8069,429,780,1010,1189,793,1139,222,131,6494,3996,4073,5132,759,1841,2532,251700,2517,30.0157225,-95.0839045,"30.0157225, -95.0839045 (2517)",1541
48201251800,1847,91,155,215,286,209,332,40,20,1450,929,918,1119,214,570,335,251800,2518,29.9733747,-95.0333022,"29.9733747, -95.0333022 (2518)",436
48201251901,9353,365,952,1492,1246,723,1392,478,207,7237,4647,4706,5663,606,2256,2801,251901,2519.01,29.958112,-95.116828,"29.958112, -95.116828 (2519.01)",1877
48201251902,4778,212,462,632,686,533,670,561,73,3445,2327,2451,3101,209,1017,1875,251902,2519.02,29.9082834,-95.0972575,"29.9082834, -95.0972575 (2519.02)",1004
48201252000,11296,359,1144,2172,1823,486,2534,2160,252,5810,5628,5668,5538,396,1077,4065,252000,2520,29.9178687,-95.1755427,"29.9178687, -95.1755427 (2520)",1796
48201252100,1720,87,201,245,249,134,553,120,28,1001,874,846,988,331,315,342,252100,2521,29.8850976,-95.1385243,"29.8850976, -95.1385243 (2521)",369
48201252200,7944,484,1353,1319,955,370,4582,1274,142,1715,4002,3942,3528,769,1200,1559,252200,2522,29.8329284,-95.1490398,"29.8329284, -95.1490398 (2522)",862
48201252301,8862,562,964,1483,1124,269,5060,2624,89,855,4280,4582,4178,892,1652,1634,252301,2523.01,29.7955387,-95.1532552,"29.7955387, -95.1532552 (2523.01)",1113
48201252302,11443,682,1480,1932,1464,415,6796,2718,141,1488,5710,5733,5927,1143,1880,2904,252302,2523.02,29.8001368,-95.1341079,"29.8001368, -95.1341079 (2523.02)",1498
48201252400,6976,452,767,924,926,612,4095,205,98,2549,3459,3517,4887,1498,2076,1313,252400,2524,29.7816516,-95.1428602,"29.7816516, -95.1428602 (2524)",1090
48201252500,4325,291,555,604,525,285,2845,57,47,1369,2296,2029,2332,907,927,498,252500,2525,29.7661133,-95.1281275,"29.7661133, -95.1281275 (2525)",648
48201252600,7552,497,924,1034,1022,538,4726,73,80,2638,3922,3630,4049,1617,1383,1049,252600,2526,29.8281249,-95.0956649,"29.8281249, -95.0956649 (2526)",1078
48201252700,4163,243,416,534,554,458,1153,244,64,2684,2098,2065,2576,463,1034,1079,252700,2527,29.9167216,-95.0200269,"29.9167216, -95.0200269 (2527)",826
48201252800,5882,324,540,727,798,632,1424,2623,75,1748,2932,2950,3144,800,1126,1218,252800,2528,29.8576461,-95.0195754,"29.8576461, -95.0195754 (2528)",1189
48201252900,7768,472,797,943,1099,908,1921,211,131,5479,3873,3895,4977,1018,1566,2393,252900,2529,29.8128692,-95.057826,"29.8128692, -95.057826 (2529)",1558
48201253000,3888,227,393,515,522,392,1014,1474,59,1330,1888,2000,2059,408,792,859,253000,2530,29.8221743,-95.0196332,"29.8221743, -95.0196332 (2530)",738
48201253100,8439,409,939,1602,1121,324,3376,1592,161,2962,4173,4266,4191,428,1148,2615,253100,2531,29.8288339,-94.9611681,"29.8288339, -94.9611681 (2531)",1062
48201253200,9429,580,1066,1071,1250,975,2677,1355,157,5141,4524,4905,5166,855,1179,3132,253200,2532,29.7935093,-94.9626847,"29.7935093, -94.9626847 (2532)",1896
48201253300,3428,162,300,384,470,501,798,184,33,2397,1710,1718,2466,255,438,1773,253300,2533,29.7669234,-95.0419788,"29.7669234, -95.0419788 (2533)",826
48201253400,724,36,52,68,85,209,360,38,5,321,330,394,682,161,290,231,253400,2534,29.7559128,-95.0170173,"29.7559128, -95.0170173 (2534)",112
48201253500,8382,505,1093,1176,997,623,3313,1943,147,2762,3988,4394,4948,1140,1262,2546,253500,2535,29.7796146,-95.0042399,"29.7796146, -95.0042399 (2535)",1307
48201253600,5002,290,646,627,597,661,1552,1183,113,2044,2381,2621,3504,620,961,1923,253600,2536,29.7641984,-94.993746,"29.7641984, -94.993746 (2536)",1014
48201253700,5227,375,702,700,588,772,1883,904,59,2271,2511,2716,3137,620,968,1549,253700,2537,29.7654725,-94.973955,"29.7654725, -94.973955 (2537)",787
48201253800,7717,411,877,1300,931,581,3558,1038,107,2942,3777,3940,4553,1179,1421,1953,253800,2538,29.766428,-94.9479552,"29.766428, -94.9479552 (2538)",1142
48201253900,4416,290,536,592,527,585,1280,543,70,2459,2063,2353,2272,373,622,1277,253900,2539,29.7529642,-94.9334749,"29.7529642, -94.9334749 (2539)",679
48201254000,3594,221,431,495,414,399,1330,535,56,1623,1760,1834,2046,253,620,1173,254000,2540,29.7343474,-94.9429906,"29.7343474, -94.9429906 (2540)",579
48201254100,5141,337,582,701,614,546,2771,572,95,1687,2534,2607,2897,873,929,1095,254100,2541,29.7467229,-94.9542185,"29.7467229, -94.9542185 (2541)",784
48201254200,3052,203,365,422,369,208,2217,179,29,623,1556,1496,1745,738,393,614,254200,2542,29.7287156,-94.9645049,"29.7287156, -94.9645049 (2542)",421
48201254300,4917,353,553,685,686,408,2822,661,61,1268,2511,2406,2963,784,1086,1093,254300,2543,29.7418815,-94.974773,"29.7418815, -94.974773 (2543)",720
48201254400,3253,245,388,393,432,229,2436,441,21,352,1633,1620,1576,763,368,445,254400,2544,29.7264985,-94.9771664,"29.7264985, -94.9771664 (2544)",486
48201254500,2356,150,265,301,270,250,1564,552,29,207,1167,1189,1439,849,273,317,254500,2545,29.7308051,-94.9976559,"29.7308051, -94.9976559 (2545)",370
48201254600,4067,300,441,552,537,374,2912,475,42,628,2040,2027,2158,797,705,656,254600,2546,29.7154386,-95.0108385,"29.7154386, -95.0108385 (2546)",616
48201254700,2029,103,241,247,284,219,593,257,24,1084,1019,1010,1649,299,415,935,254700,2547,29.6859304,-94.9543866,"29.6859304, -94.9543866 (2547)",418
48201310100,5884,272,1161,1073,767,313,2617,1785,87,1276,3160,2724,3145,1240,521,1384,310100,3101,29.7547757,-95.3429694,"29.7547757, -95.3429694 (3101)",923
48201310200,1463,59,420,358,192,74,331,427,37,535,788,675,1207,199,153,855,310200,3102,29.7434743,-95.3511272,"29.7434743, -95.3511272 (3102)",196
48201310300,4774,259,787,775,580,426,3566,207,84,785,2500,2274,3391,1191,720,1480,310300,3103,29.7364559,-95.3359747,"29.7364559, -95.3359747 (3103)",900
48201310400,4084,231,521,581,505,509,3789,67,22,191,2110,1974,2607,1461,558,588,310400,3104,29.7514647,-95.3287113,"29.7514647, -95.3287113 (3104)",649
48201310500,4856,264,577,740,631,411,4396,183,21,244,2639,2217,3001,1572,868,561,310500,3105,29.7465598,-95.3167847,"29.7465598, -95.3167847 (3105)",826
48201310600,6025,401,835,911,781,469,5375,131,32,427,3106,2919,3909,1597,1025,1287,310600,3106,29.732539,-95.3248198,"29.732539, -95.3248198 (3106)",970
48201310700,4167,238,596,674,516,328,3454,64,25,579,2140,2027,2746,1369,558,819,310700,3107,29.7223865,-95.3144687,"29.7223865, -95.3144687 (3107)",649
48201310800,2490,134,312,441,274,170,2309,40,6,132,1282,1208,1339,683,308,348,310800,3108,29.7299752,-95.3107949,"29.7299752, -95.3107949 (3108)",316
48201310900,5770,358,751,793,728,509,5492,78,25,161,2929,2841,3031,1760,718,553,310900,3109,29.7357279,-95.3009728,"29.7357279, -95.3009728 (3109)",887
48201311000,7111,480,834,970,908,690,6913,36,20,133,3731,3380,4387,2799,1099,489,311000,3110,29.7451188,-95.2971113,"29.7451188, -95.2971113 (3110)",1112
48201311100,5886,337,649,828,755,611,5692,30,23,128,3094,2792,3627,2300,865,462,311100,3111,29.7332048,-95.2862683,"29.7332048, -95.2862683 (3111)",954
48201311200,4908,330,648,674,664,433,4530,50,19,303,2527,2381,3121,1966,715,440,311200,3112,29.7189931,-95.2991593,"29.7189931, -95.2991593 (3112)",739
48201311300,5242,401,589,684,672,458,4929,37,26,237,2669,2573,3415,2094,715,606,311300,3113,29.7097213,-95.2945292,"29.7097213, -95.2945292 (3113)",811
48201311400,1496,70,157,223,207,132,1275,167,3,48,773,723,1306,754,248,304,311400,3114,29.7190269,-95.2752207,"29.7190269, -95.2752207 (3114)",237
48201311500,7611,560,1073,1131,954,518,6966,88,26,295,3991,3620,4231,1955,1500,776,311500,3115,29.7083736,-95.2819708,"29.7083736, -95.2819708 (3115)",1091
48201311600,4103,297,738,752,482,70,3797,190,21,83,2302,1801,2428,1259,667,502,311600,3116,29.7011087,-95.2861718,"29.7011087, -95.2861718 (3116)",352
48201311700,5593,447,921,934,592,256,4679,552,35,261,2913,2680,3068,1405,958,705,311700,3117,29.6999458,-95.3073229,"29.6999458, -95.3073229 (3117)",644
48201311800,4542,326,618,687,562,253,4270,39,21,201,2370,2172,2937,1732,639,566,311800,3118,29.699182,-95.3244075,"29.699182, -95.3244075 (3118)",623
48201311900,2448,168,296,308,325,204,2198,52,14,153,1221,1227,1462,565,437,460,311900,3119,29.7170693,-95.3251747,"29.7170693, -95.3251747 (3119)",406
48201312000,4089,1901,947,200,169,327,399,1665,118,1317,1882,2207,1225,136,81,1008,312000,3120,29.7152475,-95.3523898,"29.7152475, -95.3523898 (3120)",347
48201312100,2725,1786,806,80,24,0,389,830,106,924,1419,1306,213,0,0,213,312100,3121,29.7222846,-95.3445785,"29.7222846, -95.3445785 (3121)",10
48201312200,2058,121,233,238,297,250,403,1589,12,45,1039,1019,1335,574,484,277,312200,3122,29.7321055,-95.3497568,"29.7321055, -95.3497568 (3122)",398
48201312300,1962,111,231,281,271,263,384,1382,13,134,975,987,1127,560,324,243,312300,3123,29.7378633,-95.3604134,"29.7378633, -95.3604134 (3123)",396
48201312400,2208,127,252,248,339,288,282,1803,14,82,1107,1101,1295,555,491,249,312400,3124,29.7298981,-95.3610125,"29.7298981, -95.3610125 (3124)",444
48201312500,4235,172,895,991,801,137,754,1393,92,1694,2736,1499,2517,316,431,1770,312500,3125,29.7399664,-95.372885,"29.7399664, -95.372885 (3125)",868
48201312600,5871,242,1276,1251,728,541,996,1548,154,2629,3129,2742,3805,361,366,3078,312600,3126,29.7252336,-95.3805516,"29.7252336, -95.3805516 (3126)",1125
48201312700,1955,116,236,234,306,243,136,1684,39,77,996,959,1357,246,295,816,312700,3127,29.7265562,-95.367898,"29.7265562, -95.367898 (3127)",461
48201312800,2332,749,301,172,161,132,146,2140,24,21,974,1358,967,288,268,411,312800,3128,29.7219583,-95.3579408,"29.7219583, -95.3579408 (3128)",279
48201312900,3941,853,548,349,389,526,169,3537,66,134,1760,2181,2660,278,721,1661,312900,3129,29.7140414,-95.3624725,"29.7140414, -95.3624725 (3129)",684
48201313000,2349,121,292,339,341,263,161,1928,65,164,1125,1224,1544,239,268,1037,313000,3130,29.7186806,-95.3718274,"29.7186806, -95.3718274 (3130)",554
48201313100,3356,126,969,655,366,477,391,566,80,1845,1702,1654,2447,87,117,2243,313100,3131,29.7148561,-95.3862914,"29.7148561, -95.3862914 (3131)",517
48201313200,3798,236,407,371,572,657,387,3059,68,228,1785,2013,2406,189,568,1649,313200,3132,29.7065324,-95.3595086,"29.7065324, -95.3595086 (3132)",786
48201313300,2654,144,255,307,373,487,361,2196,20,75,1222,1432,1802,376,534,892,313300,3133,29.7045424,-95.3355622,"29.7045424, -95.3355622 (3133)",462
48201313400,2935,186,362,382,367,384,700,2135,33,54,1372,1563,1918,624,531,763,313400,3134,29.694192,-95.3382526,"29.694192, -95.3382526 (3134)",522
48201313500,2501,175,247,281,313,359,490,1959,21,26,1196,1305,1412,496,614,302,313500,3135,29.6887139,-95.3478932,"29.6887139, -95.3478932 (3135)",427
48201313600,4831,325,536,558,580,636,1236,3448,51,74,2246,2585,2658,896,965,797,313600,3136,29.6916477,-95.3575745,"29.6916477, -95.3575745 (3136)",743
48201313700,2457,133,181,325,318,511,192,2200,25,32,1168,1289,1709,339,678,692,313700,3137,29.6974994,-95.3664608,"29.6974994, -95.3664608 (3137)",445
48201313800,4774,296,616,607,463,470,467,4180,66,39,2089,2685,2659,734,889,1036,313800,3138,29.6877873,-95.3722314,"29.6877873, -95.3722314 (3138)",650
48201313900,4495,316,1852,855,352,127,534,1453,143,1452,2032,2463,2535,64,202,2269,313900,3139,29.6919207,-95.3838935,"29.6919207, -95.3838935 (3139)",466
48201314001,2759,90,1018,624,251,198,267,517,119,934,1331,1428,2602,112,271,2219,314001,3140.01,29.699002,-95.3923379,"29.699002, -95.3923379 (3140.01)",336
48201314002,7544,326,3145,1997,590,271,763,1528,153,1848,3884,3660,5025,35,370,4620,314002,3140.02,29.6879699,-95.3974591,"29.6879699, -95.3974591 (3140.02)",556
48201314300,3962,268,836,671,520,155,392,3168,56,200,1883,2079,2629,226,929,1474,314300,3143,29.6837629,-95.4194458,"29.6837629, -95.4194458 (3143)",665
48201314400,3093,85,1194,787,263,139,333,229,104,1139,1470,1623,2050,86,57,1907,314400,3144,29.6899391,-95.4055766,"29.6899391, -95.4055766 (3144)",228
48201320100,2876,177,419,446,362,183,2525,116,17,166,1493,1383,1531,623,449,459,320100,3201,29.6946691,-95.2812699,"29.6946691, -95.2812699 (3201)",367
48201320200,6662,456,843,934,926,432,5095,159,58,495,3395,3267,3941,1487,1014,1440,320200,3202,29.695817,-95.26648,"29.695817, -95.26648 (3202)",946
48201320500,4618,353,514,639,647,278,4121,20,23,446,2351,2267,2571,1071,900,600,320500,3205,29.6991881,-95.2440992,"29.6991881, -95.2440992 (3205)",631
48201320601,2638,171,343,427,362,129,2347,24,10,239,1370,1268,1413,688,351,374,320601,3206.01,29.6839896,-95.262852,"29.6839896, -95.262852 (3206.01)",339
48201320602,4537,284,582,594,578,353,4053,170,16,263,2327,2210,2741,1342,772,627,320602,3206.02,29.6774601,-95.2575385,"29.6774601, -95.2575385 (3206.02)",709
