GEOID,Total Population,18-21 years,22-29 years,30-39 years,40-49 years,65 years and over,Hispanic,Black non-Hispanic,Other non-Hispanic,White non-hispanic,Male,Female,Education Total,Less than high school,High school,College,tract_x,tract_y,latitude,longitude,google_loc,Age50_64
48201411200,1803,53,74,101,228,365,99,14,19,1597,855,948,1541,37,109,1395,411200,4112,29.7556182,-95.4252556,"29.7556182, -95.4252556 (4112)",592
48201411300,3383,71,941,679,402,495,558,241,56,2230,1662,1721,2906,78,60,2768,411300,4113,29.7489303,-95.4524962,"29.7489303, -95.4524962 (4113)",590
48201411400,2775,62,95,166,386,685,108,34,12,2551,1312,1463,2095,23,120,1952,411400,4114,29.744645,-95.4330815,"29.744645, -95.4330815 (4114)",789
48201411501,5233,145,1659,1110,536,547,720,271,103,3635,2464,2769,3080,110,216,2754,411501,4115.01,29.7354936,-95.4422226,"29.7354936, -95.4422226 (4115.01)",784
48201411502,3916,81,1283,883,464,302,519,193,77,2699,1929,1987,3508,71,363,3074,411502,4115.02,29.7349837,-95.4286217,"29.7349837, -95.4286217 (4115.02)",616
48201411600,2307,25,211,344,343,369,181,57,42,1949,1179,1128,1840,9,37,1794,411600,4116,29.735475,-95.453745,"29.735475, -95.453745 (4116)",637
48201411700,2774,69,1155,692,300,113,468,245,53,1635,1356,1418,2119,48,148,1923,411700,4117,29.7245732,-95.4533877,"29.7245732, -95.4533877 (4117)",272
48201411800,4835,104,807,947,600,844,539,153,120,3354,2263,2572,3913,100,297,3516,411800,4118,29.7271916,-95.4297047,"29.7271916, -95.4297047 (4118)",820
48201411900,3681,90,621,535,480,502,362,77,82,2936,1908,1773,3056,105,188,2763,411900,4119,29.7278362,-95.3977225,"29.7278362, -95.3977225 (4119)",953
48201412000,2892,67,274,342,421,429,179,44,71,2391,1423,1469,2279,6,36,2237,412000,4120,29.7215371,-95.4107135,"29.7215371, -95.4107135 (4120)",788
48201412100,2328,794,862,515,118,0,305,110,49,1006,1186,1142,9,0,0,9,412100,4121,29.7172259,-95.4027324,"29.7172259, -95.4027324 (4121)",33
48201412200,5355,339,710,822,750,541,449,130,141,3920,2685,2670,3696,99,170,3427,412200,4122,29.7069396,-95.4118215,"29.7069396, -95.4118215 (4122)",1044
48201412300,6527,98,256,792,1057,753,411,29,165,5396,3180,3347,4600,31,176,4393,412300,4123,29.7157544,-95.4241774,"29.7157544, -95.4241774 (4123)",1702
48201412400,4541,115,144,457,791,437,293,33,110,3758,2270,2271,2633,39,83,2511,412400,4124,29.7162007,-95.4352675,"29.7162007, -95.4352675 (4124)",1157
48201412500,1715,67,120,168,276,154,137,43,45,1229,853,862,1013,38,58,917,412500,4125,29.7086859,-95.4354835,"29.7086859, -95.4354835 (4125)",430
48201412600,3737,62,155,462,661,262,323,52,86,2923,1836,1901,2329,24,89,2216,412600,4126,29.7149457,-95.4441139,"29.7149457, -95.4441139 (4126)",913
48201412700,3262,69,182,364,546,505,359,53,59,2364,1553,1709,2384,94,233,2057,412700,4127,29.7135,-95.453667,"29.7135, -95.453667 (4127)",791
48201412800,4930,119,203,660,894,357,462,48,111,3529,2398,2532,3029,46,237,2746,412800,4128,29.6981361,-95.4532887,"29.6981361, -95.4532887 (4128)",1014
48201412900,3892,159,729,563,478,660,494,573,122,1968,1847,2045,2800,116,372,2312,412900,4129,29.6838195,-95.4501905,"29.6838195, -95.4501905 (4129)",702
48201413000,3460,97,320,600,535,344,543,165,91,2241,1620,1840,2208,68,162,1978,413000,4130,29.6974479,-95.4423158,"29.6974479, -95.4423158 (4130)",674
48201413100,3087,64,155,375,512,323,284,71,100,2389,1522,1565,2045,39,61,1945,413100,4131,29.6983955,-95.4327891,"29.6983955, -95.4327891 (4131)",715
48201413201,2626,72,873,637,227,319,360,161,64,1508,1175,1451,1801,18,152,1631,413201,4132.01,29.7004544,-95.4239257,"29.7004544, -95.4239257 (4132.01)",250
48201413202,2878,79,905,619,232,391,454,188,78,1586,1262,1616,2210,0,142,2068,413202,4132.02,29.7013198,-95.4201715,"29.7013198, -95.4201715 (4132.02)",398
48201413300,6897,223,1026,1200,1011,788,901,942,165,3790,3351,3546,4769,160,557,4052,413300,4133,29.6878922,-95.4288268,"29.6878922, -95.4288268 (4133)",1294
48201420100,3062,164,639,611,380,112,1251,1040,53,394,1591,1471,1880,527,426,927,420100,4201,29.6734152,-95.4357401,"29.6734152, -95.4357401 (4201)",433
48201420200,2547,123,372,354,319,282,1191,219,84,782,1287,1260,1556,175,456,925,420200,4202,29.6681835,-95.4445542,"29.6681835, -95.4445542 (4202)",495
48201420300,3411,109,541,480,447,464,448,572,81,2153,1607,1804,2583,85,241,2257,420300,4203,29.6705847,-95.454883,"29.6705847, -95.454883 (4203)",725
48201420400,3393,85,304,555,539,508,617,175,61,2285,1603,1790,2806,281,557,1968,420400,4204,29.6576963,-95.4559833,"29.6576963, -95.4559833 (4204)",752
48201420500,4041,271,679,666,455,249,2956,648,21,130,2076,1965,2295,1504,481,310,420500,4205,29.6483998,-95.4696509,"29.6483998, -95.4696509 (4205)",401
48201420600,2232,82,216,389,332,302,655,218,44,1212,1084,1148,1629,88,245,1296,420600,4206,29.6611026,-95.47013,"29.6611026, -95.47013 (4206)",400
48201420700,3139,89,151,303,451,606,275,79,54,2467,1514,1625,2262,0,170,2092,420700,4207,29.6722815,-95.4691967,"29.6722815, -95.4691967 (4207)",805
48201420800,2512,87,150,208,367,461,194,35,46,1854,1223,1289,1956,63,96,1797,420800,4208,29.684459,-95.4692251,"29.684459, -95.4692251 (4208)",706
48201420900,6231,198,258,489,1045,652,506,116,124,4610,3043,3188,3998,62,266,3670,420900,4209,29.6973396,-95.469108,"29.6973396, -95.469108 (4209)",1775
48201421000,2497,83,136,283,429,245,276,58,79,1786,1236,1261,1672,32,110,1530,421000,4210,29.7131327,-95.4654579,"29.7131327, -95.4654579 (4210)",642
48201421101,3729,219,881,813,423,88,2276,530,37,595,1997,1732,2180,757,438,985,421101,4211.01,29.722324,-95.469979,"29.722324, -95.469979 (4211.01)",332
48201421102,5544,369,1192,1129,653,101,4193,691,54,222,3128,2416,2835,1368,647,820,421102,4211.02,29.7211704,-95.4805702,"29.7211704, -95.4805702 (4211.02)",396
48201421201,4399,282,1025,1009,447,73,3499,554,28,170,2483,1916,2173,1181,342,650,421201,4212.01,29.7226822,-95.4883448,"29.7226822, -95.4883448 (4212.01)",301
48201421202,4145,263,756,895,525,65,3712,273,24,78,2333,1812,1804,1137,390,277,421202,4212.02,29.7181327,-95.4917609,"29.7181327, -95.4917609 (4212.02)",286
48201421300,6635,386,1083,1315,864,233,3752,730,181,717,3584,3051,3551,1273,803,1475,421300,4213,29.7091212,-95.5012893,"29.7091212, -95.5012893 (4213)",730
48201421401,3626,236,700,782,413,59,3120,190,24,78,2137,1489,2154,1240,531,383,421401,4214.01,29.714443,-95.492511,"29.714443, -95.492511 (4214.01)",268
48201421402,3440,190,554,752,433,49,3293,80,7,52,1921,1519,2001,1608,267,126,421402,4214.02,29.7145907,-95.4868557,"29.7145907, -95.4868557 (4214.02)",243
48201421403,4363,307,704,735,622,192,3685,243,26,216,2355,2008,2853,1668,722,463,421403,4214.03,29.7091209,-95.4888961,"29.7091209, -95.4888961 (4214.03)",467
48201421500,6484,355,1205,1278,862,307,3772,1232,91,836,3435,3049,3537,976,607,1954,421500,4215,29.7128292,-95.4785161,"29.7128292, -95.4785161 (4215)",767
48201421600,7014,430,998,1323,959,181,5704,286,51,576,3777,3237,3382,2098,597,687,421600,4216,29.7016241,-95.4844529,"29.7016241, -95.4844529 (4216)",671
48201421700,4560,196,424,601,636,694,1556,152,50,2236,2210,2350,3285,721,508,2056,421700,4217,29.6869475,-95.4877251,"29.6869475, -95.4877251 (4217)",929
48201421800,5005,300,867,680,659,558,971,1159,142,2276,2333,2672,3349,230,627,2492,421800,4218,29.6838122,-95.4805173,"29.6838122, -95.4805173 (4218)",884
48201421900,2690,37,114,310,356,618,233,50,34,2261,1260,1430,1914,11,289,1614,421900,4219,29.6713977,-95.4847512,"29.6713977, -95.4847512 (4219)",614
48201422000,2539,71,164,349,360,493,330,102,46,1924,1213,1326,1973,64,195,1714,422000,4220,29.6620014,-95.4846575,"29.6620014, -95.4846575 (4220)",557
48201422100,5289,262,536,706,756,720,2264,802,95,1885,2545,2744,3573,564,868,2141,422100,4221,29.6482654,-95.4870792,"29.6482654, -95.4870792 (4221)",1016
48201422200,4421,295,585,603,533,306,1007,3176,64,129,1994,2427,3081,770,1109,1202,422200,4222,29.6401541,-95.5018992,"29.6401541, -95.5018992 (4222)",688
48201422301,7108,531,1023,1044,905,228,2026,4056,149,202,3403,3705,3482,745,1311,1426,422301,4223.01,29.6496831,-95.504553,"29.6496831, -95.504553 (4223.01)",1056
48201422302,2350,147,245,292,347,224,619,1234,28,372,1046,1304,1413,280,436,697,422302,4223.02,29.6490268,-95.4971327,"29.6490268, -95.4971327 (4223.02)",493
48201422401,3910,215,501,539,387,635,1291,1923,45,450,1804,2106,2563,364,772,1427,422401,4224.01,29.6613639,-95.504811,"29.6613639, -95.504811 (4224.01)",549
48201422402,6074,309,896,998,777,455,3774,813,73,1209,3158,2916,3215,1225,672,1318,422402,4224.02,29.6594845,-95.4968241,"29.6594845, -95.4968241 (4224.02)",780
48201422500,5647,269,773,830,634,605,2311,1124,117,1759,2761,2886,3731,810,548,2373,422500,4225,29.6717858,-95.5002871,"29.6717858, -95.5002871 (4225)",916
48201422600,6380,292,673,1013,847,928,3039,694,94,2394,3079,3301,4327,1090,1104,2133,422600,4226,29.6845981,-95.5006737,"29.6845981, -95.5006737 (4226)",998
48201422701,5083,297,625,750,714,425,3532,483,55,858,2596,2487,2556,1138,686,732,422701,4227.01,29.6973752,-95.4999729,"29.6973752, -95.4999729 (4227.01)",758
48201422702,3347,211,361,404,495,423,2048,167,67,886,1682,1665,2096,741,382,973,422702,4227.02,29.698989,-95.5093677,"29.698989, -95.5093677 (4227.02)",636
48201422800,4916,820,593,577,471,755,2510,681,79,1397,2311,2605,2576,1056,666,854,422800,4228,29.6900285,-95.517789,"29.6900285, -95.517789 (4228)",610
48201422900,5027,317,711,800,624,407,2991,1204,82,584,2519,2508,3083,1247,694,1142,422900,4229,29.6820045,-95.5298306,"29.6820045, -95.5298306 (4229)",691
48201423000,4695,340,860,762,556,229,2969,1042,70,543,2377,2318,3576,1270,1106,1200,423000,4230,29.6760958,-95.5215429,"29.6760958, -95.5215429 (4230)",598
48201423100,3161,194,604,584,336,51,2179,889,19,55,1659,1502,1499,665,269,565,423100,4231,29.6647245,-95.5494555,"29.6647245, -95.5494555 (4231)",268
48201423201,3233,170,322,439,475,323,1306,970,52,728,1552,1681,2072,442,438,1192,423201,4232.01,29.6609302,-95.5426618,"29.6609302, -95.5426618 (4232.01)",641
48201423202,6989,471,1099,1186,886,313,3288,2909,89,470,3436,3553,4247,1457,1127,1663,423202,4232.02,29.6649415,-95.5332655,"29.6649415, -95.5332655 (4232.02)",878
48201423301,3701,135,349,504,487,671,1072,1059,62,1321,1728,1973,2712,553,610,1549,423301,4233.01,29.6704175,-95.5186283,"29.6704175, -95.5186283 (4233.01)",689
48201423302,5123,255,597,593,670,778,681,3049,99,1016,2299,2824,3113,488,883,1742,423302,4233.02,29.6606194,-95.5182529,"29.6606194, -95.5182529 (4233.02)",1057
48201423401,5153,268,553,619,683,424,905,3010,87,873,2422,2731,3038,331,813,1894,423401,4234.01,29.6497861,-95.5163885,"29.6497861, -95.5163885 (4234.01)",1133
48201423402,4207,208,450,541,691,272,892,2278,47,157,1988,2219,2554,452,374,1728,423402,4234.02,29.6485541,-95.5296515,"29.6485541, -95.5296515 (4234.02)",835
48201423500,1927,70,135,246,263,273,404,581,41,615,939,988,1501,139,255,1107,423500,4235,29.6509447,-95.5411795,"29.6509447, -95.5411795 (4235)",511
48201423600,6971,441,659,946,1043,552,2426,3427,95,658,3314,3657,4113,1217,802,2094,423600,4236,29.6337489,-95.520956,"29.6337489, -95.520956 (4236)",1353
48201430100,5749,130,835,770,673,1280,937,220,113,4030,2621,3128,4214,207,527,3480,430100,4301,29.772477,-95.4721868,"29.772477, -95.4721868 (4301)",1128
48201430200,1380,40,158,195,231,152,256,31,27,940,660,720,1021,29,145,847,430200,4302,29.7759618,-95.4847742,"29.7759618, -95.4847742 (4302)",333
48201430300,4367,162,132,249,747,674,197,46,73,3788,2109,2258,2741,52,66,2623,430300,4303,29.7726912,-95.4980795,"29.7726912, -95.4980795 (4303)",1099
48201430400,3125,120,129,125,461,546,142,46,53,2540,1538,1587,2253,105,135,2013,430400,4304,29.7565146,-95.5154397,"29.7565146, -95.5154397 (4304)",957
48201430500,2557,97,140,260,416,370,281,33,82,1766,1249,1308,1767,124,112,1531,430500,4305,29.7796842,-95.5198088,"29.7796842, -95.5198088 (4305)",539
48201430600,3633,115,89,189,608,539,202,11,66,3000,1782,1851,2305,15,96,2194,430600,4306,29.7647646,-95.5317894,"29.7647646, -95.5317894 (4306)",1007
48201430700,3284,100,149,265,536,820,310,55,52,2280,1482,1802,2273,164,360,1749,430700,4307,29.7771319,-95.5388084,"29.7771319, -95.5388084 (4307)",628
48201430800,4348,100,245,518,729,629,268,48,81,3340,2108,2240,2648,9,204,2435,430800,4308,29.7760694,-95.552943,"29.7760694, -95.552943 (4308)",899
48201430900,5770,153,249,532,891,1250,461,46,116,4263,2651,3119,4258,43,625,3590,430900,4309,29.7578719,-95.5432087,"29.7578719, -95.5432087 (4309)",1457
48201431000,5239,88,362,723,726,1167,536,176,82,4065,2464,2775,4233,72,282,3879,431000,4310,29.7479203,-95.5509531,"29.7479203, -95.5509531 (4310)",1273
48201431101,3303,120,629,602,391,576,720,581,115,1663,1583,1720,2124,18,203,1903,431101,4311.01,29.7441598,-95.5356583,"29.7441598, -95.5356583 (4311.01)",659
48201431102,3336,122,860,610,353,493,604,632,95,1663,1566,1770,2318,55,204,2059,431102,4311.02,29.7414558,-95.5283402,"29.7414558, -95.5283402 (4311.02)",511
48201431201,4058,236,1127,828,400,551,1037,629,133,1751,1994,2064,3155,122,567,2466,431201,4312.01,29.740833,-95.5164619,"29.740833, -95.5164619 (4312.01)",399
48201431202,4592,257,1084,949,445,545,884,534,110,2398,2361,2231,3633,125,536,2972,431202,4312.02,29.7438491,-95.5055401,"29.7438491, -95.5055401 (4312.02)",621
48201431301,4516,170,1304,1013,497,332,1294,573,134,2138,2248,2268,3262,212,482,2568,431301,4313.01,29.7438994,-95.4982249,"29.7438994, -95.4982249 (4313.01)",595
