,LOT,Lat,Long
121,3,29.9686917,-95.2679542
122,2,29.9474446,-95.26092120000001
123,2,29.947089000000002,-95.2263045
124,3,29.972680800000003,-95.20824470000001
125,4,29.9870447,-95.1775845
126,4,29.9695413,-95.17682740000001
127,4,29.9929597,-95.19542729999999
128,3,29.985650099999997,-95.24675959999999
129,4,30.004990999999997,-95.236336
130,4,30.0032359,-95.17850609999999
131,5,30.014944699999997,-95.1616147
132,5,30.044807300000002,-95.1485618
133,5,30.0346082,-95.18860740000001
134,5,30.035486100000004,-95.236521
135,5,30.0577974,-95.22345899999999
136,5,30.0542151,-95.19767829999999
137,5,30.081161100000003,-95.1916467
138,5,30.0743768,-95.20310649999999
139,5,30.0980671,-95.1595942
140,5,30.062465000000003,-95.1714185
141,5,30.0726664,-95.1832132
142,5,30.1007294,-95.112658
143,5,30.0157225,-95.0839045
144,5,29.973374699999997,-95.0333022
145,5,29.958112,-95.116828
146,5,29.9082834,-95.0972575
147,4,29.917868699999996,-95.17554270000001
148,4,29.8850976,-95.1385243
149,3,29.8329284,-95.1490398
150,2,29.795538699999998,-95.1532552
151,2,29.8001368,-95.1341079
152,4,29.7816516,-95.1428602
153,4,29.766113300000004,-95.1281275
154,4,29.828124900000002,-95.0956649
155,4,29.916721600000002,-95.0200269
156,2,29.8576461,-95.01957540000001
157,5,29.812869199999998,-95.057826
158,3,29.8221743,-95.0196332
159,3,29.8288339,-94.9611681
160,4,29.7935093,-94.96268470000001
161,5,29.7669234,-95.0419788
162,4,29.755912800000004,-95.01701729999999
163,3,29.779614600000002,-95.00423990000002
164,3,29.764198399999998,-94.993746
165,4,29.765472499999998,-94.973955
166,3,29.766428,-94.9479552
167,4,29.7529642,-94.93347490000001
168,4,29.734347399999997,-94.9429906
169,3,29.746722899999998,-94.95421850000001
170,3,29.7287156,-94.96450490000001
171,3,29.7418815,-94.974773
172,3,29.726498499999998,-94.97716640000002
173,2,29.730805100000005,-94.9976559
174,3,29.7154386,-95.0108385
175,4,29.6859304,-94.95438659999999
176,2,29.7547757,-95.3429694
177,3,29.743474300000003,-95.3511272
178,3,29.7364559,-95.3359747
179,3,29.7514647,-95.3287113
180,3,29.7465598,-95.31678470000001
181,3,29.732539000000003,-95.3248198
182,3,29.7223865,-95.3144687
183,3,29.7299752,-95.3107949
184,3,29.735727899999997,-95.3009728
185,3,29.745118800000004,-95.2971113
186,3,29.7332048,-95.28626829999999
187,3,29.718993100000006,-95.2991593
188,3,29.709721299999998,-95.2945292
189,2,29.719026899999996,-95.2752207
190,3,29.7083736,-95.2819708
191,2,29.7011087,-95.2861718
192,2,29.6999458,-95.3073229
193,3,29.699182,-95.32440749999999
194,3,29.717069300000002,-95.32517469999999
195,2,29.715247499999997,-95.3523898
196,2,29.722284600000002,-95.3445785
197,1,29.7321055,-95.3497568
198,1,29.737863300000004,-95.36041340000001
199,1,29.729898100000003,-95.3610125
200,3,29.7399664,-95.372885
201,3,29.7252336,-95.38055159999999
202,1,29.726556199999997,-95.367898
203,1,29.721958299999997,-95.3579408
204,1,29.7140414,-95.3624725
205,1,29.718680600000003,-95.37182740000002
206,4,29.7148561,-95.3862914
207,1,29.706532399999997,-95.35950859999998
208,1,29.7045424,-95.3355622
209,1,29.694191999999997,-95.33825259999999
210,1,29.688713899999996,-95.3478932
211,1,29.6916477,-95.3575745
212,1,29.6974994,-95.3664608
213,1,29.687787300000004,-95.3722314
214,2,29.6919207,-95.3838935
215,2,29.699002,-95.3923379
216,2,29.687969899999995,-95.39745909999999
217,1,29.683762899999994,-95.4194458
218,3,29.6899391,-95.40557659999999
219,3,29.6946691,-95.2812699
220,2,29.695816999999998,-95.26648
221,3,29.6991881,-95.24409920000001
222,3,29.6839896,-95.262852
223,3,29.6774601,-95.2575385
224,3,29.6713783,-95.24998070000001
225,3,29.659806500000002,-95.2410022
226,3,29.648219800000003,-95.23487779999999
227,3,29.6375273,-95.225317
228,3,29.621193599999998,-95.2100853
229,3,29.6369249,-95.2004177
230,3,29.646395899999998,-95.2143397
231,3,29.665939,-95.2270082
232,3,29.6566495,-95.2197603
233,3,29.665037199999997,-95.21188620000001
234,3,29.6772057,-95.2196184
235,3,29.67773,-95.2355903
236,3,29.687686300000003,-95.2376936
237,3,29.695769899999995,-95.2248638
238,3,29.701507199999998,-95.21751479999999
239,3,29.6862136,-95.21102940000002
240,3,29.704850399999994,-95.2137873
241,4,29.698648699999996,-95.1560466
242,3,29.7018006,-95.16659399999999
243,3,29.705615100000003,-95.18180509999999
244,3,29.7034718,-95.1943063
245,3,29.694899100000004,-95.1919944
246,3,29.687924100000004,-95.169993
247,3,29.686906899999997,-95.1829177
248,3,29.687164799999998,-95.20112540000001
249,3,29.676607,-95.1995552
250,3,29.663573,-95.2013272
251,4,29.647815,-95.1912123
252,4,29.655125199999997,-95.1769249
253,4,29.6453195,-95.17661729999999
254,4,29.6743814,-95.1891936
255,4,29.673244,-95.1791015
256,4,29.674480100000004,-95.1649829
257,4,29.6526201,-95.1668761
258,3,29.7313641,-95.1790857
259,3,29.712399800000004,-95.250456
260,2,29.634496399999996,-95.4202061
261,2,29.634678499999996,-95.4536495
262,2,29.6404078,-95.4708233
263,2,29.615567600000002,-95.4760199
264,2,29.6265735,-95.4983015
265,2,29.6160441,-95.4544704
266,2,29.6225436,-95.43046140000001
267,1,29.6096975,-95.43244920000001
268,2,29.597857799999996,-95.4428953
